Descri??o do Alimento,GRUPO,Medida Caseira,Gramas
Acelga (crua),,Colher de Sopa,60
Acelga (crua),,Pegador,6
Acelga (crua),,Prato Fundo,60
Acelga (crua),,Folha,10
Acelga cozido(a),HORTALIÇAS,Porção,60
Acelga cozido(a),HORTALIÇAS,Colher de Arroz,10
Acelga cozido(a),HORTALIÇAS,Colher de Sopa,6
Acelga cozido(a),HORTALIÇAS,Pegador,6
Acelga cozido(a),HORTALIÇAS,Prato Fundo,60
Acelga cozido(a),HORTALIÇAS,Folha,10
Acelga cru(a),HORTALIÇAS,Porção,60
Acelga cru(a),HORTALIÇAS,Colher de Arroz,10
Acelga cru(a),HORTALIÇAS,Colher de Sopa,6
Acelga cru(a),HORTALIÇAS,Pegador,6
Acelga cru(a),HORTALIÇAS,Prato Fundo,60
Acelga cru(a),HORTALIÇAS,Folha,10
Acelga refogado(a),HORTALIÇAS,Porção,60
Acelga refogado(a),HORTALIÇAS,Colher de Arroz,10
Acelga refogado(a),HORTALIÇAS,Colher de Sopa,6
Acelga refogado(a),HORTALIÇAS,Pegador,6
Acelga refogado(a),HORTALIÇAS,Prato Fundo,60
Acelga refogado(a),HORTALIÇAS,Folha,10
"Acelga, crua",,Porção,60
"Acelga, crua",,Colher de Arroz,10
"Acelga, crua",,Colher de Sopa,6
"Acelga, crua",,Pegador,6
"Acelga, crua",,Prato Fundo,60
"Acelga, crua",,Folha,10
Acém assado(a),CARNE BOVINA,File,100
Acém assado(a),CARNE BOVINA,Bife,100
Acém assado(a),CARNE BOVINA,Fatia,90
Acém assado(a),CARNE BOVINA,Pedaço,35
Acém assado(a),CARNE BOVINA,Porção,75
Acém assado(a),CARNE BOVINA,Colher de Arroz,70
Acém assado(a),CARNE BOVINA,Colher de Sopa,30
Acém assado(a),CARNE BOVINA,Concha,140
Acém assado(a),CARNE BOVINA,Escumadeira,70
Acém cozido(a),CARNE BOVINA,File,100
Acém cozido(a),CARNE BOVINA,Bife,100
Acém cozido(a),CARNE BOVINA,Fatia,90
Acém cozido(a),CARNE BOVINA,Pedaço,35
Acém cozido(a),CARNE BOVINA,Porção,75
Acém cozido(a),CARNE BOVINA,Colher de Arroz,70
Acém cozido(a),CARNE BOVINA,Colher de Sopa,30
Acém cozido(a),CARNE BOVINA,Concha,140
Acém cozido(a),CARNE BOVINA,Escumadeira,70
Acém empanado(a)/a milanesa,CARNE BOVINA,File,100
Acém empanado(a)/a milanesa,CARNE BOVINA,Bife,100
Acém empanado(a)/a milanesa,CARNE BOVINA,Fatia,90
Acém empanado(a)/a milanesa,CARNE BOVINA,Pedaço,35
Acém empanado(a)/a milanesa,CARNE BOVINA,Porção,75
Acém empanado(a)/a milanesa,CARNE BOVINA,Colher de Arroz,70
Acém empanado(a)/a milanesa,CARNE BOVINA,Colher de Sopa,30
Acém empanado(a)/a milanesa,CARNE BOVINA,Concha,140
Acém empanado(a)/a milanesa,CARNE BOVINA,Escumadeira,70
Acém ensopado,CARNE BOVINA,File,100
Acém ensopado,CARNE BOVINA,Bife,100
Acém ensopado,CARNE BOVINA,Fatia,90
Acém ensopado,CARNE BOVINA,Pedaço,35
Acém ensopado,CARNE BOVINA,Porção,75
Acém ensopado,CARNE BOVINA,Colher de Arroz,70
Acém ensopado,CARNE BOVINA,Colher de Sopa,30
