Descrição do Alimento,GRUPO,File,Bife,Fatia,Pedaço,Porção,Colher de Arroz,Colher de Sopa,Concha,Escumadeira,Colher de Chá,Colher de Café,Colher de Sobremesa,Copo Americano,Copo Médio,Copo Grande,Pegador,Pote,Prato Sobremesa,Prato Fundo,Prato Raso,Tigela,Xícara de Chá,Asa,Peito,Coxa,Sobrecoxa,Costela,Pescoço,Unidade,Unidade Pequena,Metade,Banda,Punhado,Garrafa 200ml,Caneca,Folha,Nova Medida 1,Nova Medida 2,Nova Medida 3,Nova Medida 4,Nova Medida 5,Nova Medida 6,Nova Medida 7,Nova Medida 8,Nova Medida 9,Nova Medida 10,Nova Medida 11,Nova Medida 12
"Acerola, suco natural (néctar), s/ açúcar",,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,300,,,,,,,,,,,,,
Achocolatado Choco leco -Vigor®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,
Achocolatado Choco Milk -Batavo®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,200,,,,,,,,,,,,,,
Achocolatado em pó,AÇUCARES/CONFEITARIA,,,,,,30,16,,,4,2,11,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,
Achocolatado em pó diet,AÇUCARES/CONFEITARIA,,,,,,30,16,,,4,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achocolatado em pó diet -Gold®,,,,,,,30,16,,,4,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achocolatado em pó light,AÇUCARES/CONFEITARIA,,,,,,30,16,,,4,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Achocolatado, pó",,,,,,,30,16,,,4,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Achocolatado, pó , ""Nescau""",,,,,,,30,16,,,4,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Achocolatado, pó , (média diferentes amostras)",,,,,,,30,16,,,4,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Achocolatado, pó, ""Toddy""",,,,,,,30,16,,,4,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açúcar,ADOÇANTES,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açúcar cristal,,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açúcar de confeiteiro,,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açúcar light,ADOÇANTES,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açúcar mascavo (IBGE),ADOÇANTES,,,,,,,19,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açúcar mascavo (Tucunduva),,,,,,,,19,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açúcar orgânico cristal -Native®,,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açúcar orgânico demerara -Native®,,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açúcar refinado - União®,,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Açúcar refinado premium -União®,,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açúcar, (média diferentes tipos)",,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açúcar, cristal (TACO)",,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açúcar, cristal (TBCA)",,,,,,28,,24,,,5,2,16,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açúcar, mascavo (TACO)",,,,,,,,19,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açúcar, mascavo (TBCA)",,,,,,,,19,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açúcar, refinado",,,,,,,,23,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Açúcar, refinado, (média diferentes amostras)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ades light,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,
Ades original,FRUTAS/SUCOS/VITAMINAS,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,
Ades® (sabor abacaxi),,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,
Ades® (sabor laranja),,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,
Ades® (sabor maçã),,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,
Ades® (sabor maracujá),,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,
Ades® (sabor pêssego),,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,
Ades® (sabor uva),,,,,,,,,,,,,,150,240,300,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,
Adoçante artificial,ADOÇANTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoçante culinário em pó -Linea Sucralose®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoçante em pó - DoceMenor®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoçante em pó - Zero Cal®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoçante em pó (aspartame)- Finn®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoçante em pó (stevia) -Finn®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoçante em pó (sucralose)- Finn®,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
